url_length,has_ip_address,has_at_symbol,num_hyphens_in_domain,num_dots,num_subdomains,has_https,has_suspicious_tld,has_url_shortener,digit_ratio,has_double_slash_in_path,special_char_count,domain_length,has_brand_keyword_mismatch,path_length,num_query_params,has_redirect_in_query,url_entropy,has_port_in_url,label,url,y_pred
29,0,0,0,2,1,1,0,0,0.0,0,0,8,0,5,0,0,4.073329701949521,0,1,https://dpd.yavnexor.cfd/com/,0
30,0,0,0,1,0,1,0,0,0.0,0,0,12,0,6,0,0,4.164735178725505,0,1,https://kreditkalkyl.com/sbhav,0
21,0,0,0,1,0,1,0,0,0.0,0,0,4,0,6,0,0,3.7849418274376423,0,1,https://surl.li/hqwfo,0
24,0,0,0,1,0,1,0,0,0.0,0,0,6,0,5,0,0,3.823934896284056,0,1,https://allbio.link/hhuj,0
34,0,0,0,2,1,1,0,0,0.0,0,0,12,0,6,0,0,3.973512753576009,0,1,https://www.hunanqingang.com/login,0
21,0,0,1,1,0,1,0,0,0.0,0,0,9,0,0,0,0,3.8208888513501886,0,1,https://bac-bvloh.com,0
46,0,0,0,2,1,1,0,0,0.1521739130434782,0,0,7,0,16,0,0,4.368792054344758,0,1,https://gifop85311.wixsite.com/emailtrueauth11,0
35,0,0,0,2,1,1,0,0,0.0,0,0,11,0,0,0,0,4.093149802473811,0,1,https://pruebacrooe.webcindario.com,0
42,0,0,0,1,0,1,0,0,0.0238095238095238,0,0,8,0,21,0,0,4.246151577840245,0,1,https://tribelio.page/reconfirm-account1st,0
24,0,0,0,1,0,1,0,0,0.0,0,0,12,0,0,0,0,3.751629167387823,0,1,https://colokshiowla.com,0
34,0,0,0,2,1,1,0,0,0.0,0,0,6,0,5,0,0,4.182907326480826,0,1,https://t-mobile.govnwu.autos/pay/,0
25,0,0,0,1,0,1,0,0,0.0,0,0,9,0,5,0,0,3.893660689688186,0,1,https://neologica.pt/jul/,0
23,0,0,0,2,1,1,0,0,0.0,0,0,2,0,0,0,0,3.9690016298759927,0,1,https://it-akimbo.eu.cc,0
23,0,0,0,1,0,1,0,0,0.0,0,0,11,0,0,0,0,4.001822825622231,0,1,https://nomuawiburn.com,0
35,0,0,0,1,0,1,0,0,0.0,0,0,3,0,21,0,0,4.036006945330954,0,1,https://did.li/bitbey-support-co-iI,0
31,0,0,0,1,0,1,0,0,0.0,0,0,11,0,8,0,0,3.9990466176631063,0,1,https://dellavillas.com/unfold/,0
28,0,0,0,1,0,1,0,0,0.0,0,0,8,0,8,0,0,3.842370993177109,0,1,https://campsite.bio/fbshelp,0
49,0,0,0,2,1,1,0,0,0.0,0,0,9,0,14,0,0,4.354007037771997,0,1,https://openly-bridge.wixstudio.com/brdidge-en-us,0
39,0,0,0,2,1,1,0,0,0.0,0,0,8,0,15,0,0,4.099128821259931,0,1,https://www.flowcode.com/page/checkjust,0
34,0,0,0,2,1,1,0,0,0.0,0,0,13,0,5,0,0,3.998652546878167,0,1,https://www.tuboplastperu.com/cold,0
45,0,0,0,3,1,1,0,0,0.0,0,0,5,0,16,0,0,4.1000933078165485,0,1,https://lw-att-main.hopto.org/cgi-bin/home.ha,0
37,0,0,1,2,0,1,0,0,0.0,0,0,12,0,13,0,0,4.060012149061901,0,1,https://unicredit-eu.one/bh/login.php,0
35,0,0,0,2,1,1,0,0,0.0,0,0,6,0,8,0,0,3.9357276594930415,0,1,https://liveldgr.zapier.app/support,0
48,0,0,0,2,1,1,0,0,0.0,0,0,10,0,13,0,0,4.113521032323433,0,1,https://login-app-web.bubbleapps.io/version-test,0
40,0,0,1,2,1,1,0,0,0.0,0,0,16,0,8,0,0,4.158694969562842,0,1,https://www.obnovenie-platby.com/captcha,0
38,0,0,0,2,1,1,0,0,0.0263157894736842,0,0,7,0,15,0,0,4.251235329734975,0,1,https://www.sertras.com/v3/gndi-login/,0
24,0,0,0,1,0,1,0,0,0.0,0,0,7,0,6,0,0,3.823934896284056,0,1,https://shorten.is/kTPXr,0
44,0,0,0,2,1,1,0,0,0.0,0,0,6,0,20,0,0,4.073210744553411,0,1,https://sites.google.com/view/verifygmx/home,0
38,0,0,2,2,1,1,0,0,0.0,0,0,14,0,8,0,0,4.366091329119192,0,1,https://www.zh-mobi-jingyu.com/aplenm/,0
41,0,0,0,1,0,1,1,0,0.0,0,0,15,0,13,0,0,4.098780285729381,0,1,https://metaforbusiness.live/contact/help,0
27,0,0,1,1,0,1,0,0,0.0,0,0,15,0,0,0,0,3.986187965046303,0,1,https://evitale-central.com,0
45,0,0,0,2,1,1,0,0,0.0444444444444444,0,0,8,0,21,0,0,4.161313030086848,0,1,https://www.flowcode.com/page/attupdatemail89,0
38,0,0,0,1,0,1,0,0,0.0,0,0,15,0,6,0,0,4.076103170996722,0,1,https://unlockseviceads.business/login,0
34,0,0,0,2,1,1,0,0,0.0,0,0,6,0,5,0,0,4.087462841250339,0,1,https://t-mobile.govnoe.autos/pay/,0
45,0,0,0,2,1,1,0,0,0.0,0,0,6,0,21,0,0,4.116868585642403,0,1,https://sites.google.com/view/verifiedcaptcha,0
45,0,0,0,2,1,1,0,0,0.0,0,0,6,0,21,0,0,4.000310530134925,0,1,https://sites.google.com/view/gmxmailing/home,0
45,0,0,0,2,1,1,0,0,0.0,0,0,6,0,21,0,0,4.311421641246036,0,1,https://sites.google.com/view/update-curreIP:,0
44,0,0,0,3,1,1,0,0,0.0227272727272727,0,0,13,0,14,0,0,4.356492413796825,0,1,https://qopdj.schleifenbach.de/z0fnswjl.html,0
